Index, x_coord, y_coord
Circle Formation
0, 31, 0
1, 30, 9
2, 25, 18
3, 18, 25
4, 9, 30
5, 0, 31
6, -10, 30
7, -19, 25
8, -26, 18
9, -31, 9
10, -32, 0
11, -31, -10
12, -26, -19
13, -19, -26
14, -10, -31
15, -1, -32
16, 9, -31
17, 18, -26
18, 25, -19
19, 30, -10
Rectangle Formation
0, -35, -15
1, -25, -15
2, -15, -15
3, -5, -15
4, 5, -15
5, 15, -15
6, 25, -15
7, 35, -15
8, 35, -5
9, 35, 5
10, 35, 15
11, 25, 15
12, 15, 15
13, 5, 15
14, -5, 15
15, -15, 15
16, -25, 15
17, -35, 15
18, -35, 5
19, -35, -5
Random Formation
0, -25, 43
1, 45, 5
2, -40, 2
3, -41, 25
4, -2, -24
5, -29, -26
6, 5, 46
7, 16, 37
8, 41, -27
9, -35, -27
10, 35, 49
11, 13, 39
12, -10, 9
13, -19, -41
14, -20, 26
15, -41, 5
16, -28, -46
17, 13, -18
18, -41, 22
19, 9, 7
Node Targets
0, -20, -9
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 0, 0
11, 0, 0
12, 0, 0
13, 0, 0
14, 0, 0
15, 0, 0
16, 0, 0
17, 0, 0
18, 0, 0
19, 0, 0
